"","track_name","artist.s._name","released_year","released_month","in_spotify_playlists","listas_spotify_log","bpm","porcentaje_bailable","porcentaje_energia","porcentaje_acustica","porcentaje_instrumental","porcentaje_voz","porcentaje_envivo","modo","valencia","clave_sol"
"1","Seven (feat. Latto) (Explicit Ver.)","Latto, Jung Kook",2023,7,553,6.31535800152233,125,80,83,31,0,4,8,"Major",89,0
"2","LALA","Myke Towers",2023,3,1474,7.29573507274928,92,71,74,7,0,4,10,"Major",61,0
"3","vampire","Olivia Rodrigo",2023,6,1397,7.24208235925696,138,51,53,17,0,6,31,"Major",32,0
"4","Cruel Summer","Taylor Swift",2019,8,7858,8.96928740011841,170,55,72,11,0,15,11,"Major",58,0
"5","WHERE SHE GOES","Bad Bunny",2023,5,3133,8.04974629095219,144,65,80,14,63,6,11,"Minor",23,0
"6","Sprinter","Dave, Central Cee",2023,6,2186,7.68982866873648,141,92,58,19,0,24,8,"Major",66,0
"7","Ella Baila Sola","Eslabon Armado, Peso Pluma",2023,3,3090,8.03592636989179,148,67,76,48,0,3,8,"Minor",83,0
"8","Columbia","Quevedo",2023,7,714,6.57088296233958,100,67,71,37,0,4,11,"Major",26,0
"9","fukumean","Gunna",2023,5,1096,6.99942246750796,130,85,62,12,0,9,28,"Minor",22,0
"10","La Bebe - Remix","Peso Pluma, Yng Lvcas",2023,3,2953,7.99057688174392,170,81,48,21,0,33,8,"Minor",56,0
"11","un x100to","Bad Bunny, Grupo Frontera",2023,4,2876,7.96415571884094,83,57,72,23,0,5,27,"Minor",56,0
"12","Super Shy","NewJeans",2023,7,422,6.04500531403601,150,78,82,18,0,7,15,"Minor",52,0
"13","Flowers","Miley Cyrus",2023,1,12211,9.41009246383302,118,71,68,6,0,7,3,"Major",65,0
"14","Daylight","David Kushner",2023,4,3528,8.16848641712668,130,51,43,83,0,3,9,"Minor",32,0
"15","As It Was","Harry Styles",2022,3,23575,10.0679421075017,174,52,73,34,0,6,31,"Minor",66,0
"16","Kill Bill","SZA",2022,12,8109,9.00072983494456,89,64,73,5,17,4,16,"Major",43,0
"17","Cupid - Twin Ver.","Fifty Fifty",2023,2,2942,7.98684490116138,120,78,59,43,0,3,34,"Minor",76,0
"18","What Was I Made For? [From The Motion Picture ""Barbie""]","Billie Eilish",2023,7,873,6.7719355558396,78,44,9,96,0,3,10,"Major",14,0
"19","Classy 101","Feid, Young Miko",2023,3,2610,7.86710550031674,100,86,66,14,0,16,12,"Major",67,0
"20","Like Crazy","Jimin",2023,3,596,6.39024066706535,120,63,73,0,0,4,36,"Major",36,1
"21","LADY GAGA","Gabito Ballesteros, Junior H, Peso Pluma",2023,6,332,5.80513496891649,140,65,74,22,0,4,42,"Minor",87,0
"22","I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ","Taylor Swift",2023,7,516,6.24610676548156,123,69,76,6,0,3,6,"Major",82,0
"23","I Wanna Be Yours","Arctic Monkeys",2013,1,12859,9.46179923427044,135,48,42,12,2,3,11,"Minor",44,0
"24","Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2023,5,1313,7.1800698743028,133,85,67,26,0,5,12,"Minor",81,0
"25","Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series)","The Weeknd, Madonna, Playboi Carti",2023,6,1945,7.57301725605255,99,85,68,7,0,20,36,"Major",83,0
"26","SABOR FRESA","Fuerza Regida",2023,6,250,5.52146091786225,130,79,86,9,0,9,9,"Minor",96,1
"27","Calm Down (with Selena Gomez)","Rï¿½ï¿½ma, Selena G",2022,3,7112,8.86953877719374,107,80,80,43,0,4,14,"Major",82,0
"28","MOJABI GHOST","Tainy, Bad Bunny",2023,6,859,6.75576892198425,122,81,71,14,0,4,56,"Minor",74,0
"29","Last Night","Morgan Wallen",2023,1,2420,7.79152281915073,204,52,68,46,0,4,15,"Major",52,0
"30","Dance The Night (From Barbie The Album)","Dua Lipa",2023,5,2988,8.00235954625271,110,67,85,2,0,5,33,"Minor",78,0
"31","Rush","Troye Sivan",2023,7,864,6.76157276880406,126,74,84,0,0,6,11,"Minor",35,0
"32","TULUM","Peso Pluma, Grupo Frontera",2023,6,266,5.5834963087817,168,56,87,39,0,5,11,"Major",63,0
"33","Creepin'","The Weeknd, 21 Savage, Metro Boomin",2022,12,6036,8.70549681988774,98,71,61,36,0,5,8,"Minor",17,0
"34","Anti-Hero","Taylor Swift",2022,10,9082,9.1140497116579,97,64,63,12,0,5,19,"Major",51,0
"35","TQG","Karol G, Shakira",2023,2,4284,8.36264243156764,180,72,63,67,0,28,9,"Minor",61,0
"36","Los del Espacio","Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",2023,6,1150,7.0475172213573,120,81,68,11,0,4,11,"Major",63,0
"37","Frï¿½ï¿½gil (feat. Grupo Front","Yahritza Y Su Esencia, Grupo Frontera",2023,4,672,6.51025834052315,150,61,73,37,0,3,11,"Major",39,0
"38","Blank Space","Taylor Swift",2014,1,11434,9.34434665182392,96,75,68,9,0,6,13,"Major",57,0
"39","Style","Taylor Swift",2014,1,7830,8.96571778898485,95,60,79,0,0,4,12,"Major",48,0
"40","TQM","Fuerza Regida",2023,5,584,6.36990098282823,125,79,85,27,0,6,11,"Minor",96,0
"41","El Azul","Junior H, Peso Pluma",2023,2,692,6.53958595561767,144,56,65,23,0,6,10,"Minor",84,0
"42","Sunflower - Spider-Man: Into the Spider-Verse","Post Malone, Swae Lee",2018,10,24094,10.0897181258268,90,76,50,54,0,5,7,"Major",91,0
"43","I'm Good (Blue)","Bebe Rexha, David Guetta",2022,8,12482,9.43204288549399,128,56,97,4,0,4,35,"Minor",38,1
"44","See You Again","Tyler, The Creator, Kali Uchis",2017,7,13387,9.5020393657859,79,56,56,37,0,10,11,"Major",58,0
"45","Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj, Aqua, Ice Spice",2023,6,1117,7.0184017990692,144,77,58,52,0,25,23,"Major",75,0
"46","Angels Like You","Miley Cyrus",2020,11,3372,8.12326131912175,122,67,64,10,0,3,10,"Major",49,0
"47","I Ain't Worried","OneRepublic",2022,5,8431,9.03967066792268,140,71,81,11,0,5,6,"Major",82,0
"48","Die For You","The Weeknd",2016,11,2483,7.81722278550817,134,59,52,9,0,7,15,"Minor",51,0
"49","Starboy","The Weeknd, Daft Punk",2016,9,29536,10.2933651373026,186,68,59,16,0,28,13,"Major",49,1
"50","Die For You - Remix","Ariana Grande, The Weeknd",2023,2,3408,8.13388088794921,67,53,53,23,0,7,44,"Minor",50,0
"51","El Cielo","Feid, Myke Towers, Sky Rompiendo",2023,6,1298,7.16857989726403,106,72,64,7,0,5,10,"Minor",17,0
"52","Baby Don't Hurt Me","David Guetta, Anne-Marie, Coi Leray",2023,4,4277,8.36100710822691,128,60,91,0,0,3,12,"Major",23,1
"53","AMARGURA","Karol G",2023,2,1133,7.03262426102801,107,92,70,18,0,7,15,"Minor",55,0
"54","(It Goes Like) Nanana - Edit","Peggy Gou",2023,6,2259,7.722677516468,130,67,88,12,19,4,8,"Minor",96,1
"55","Another Love","Tom Odell",2012,10,18371,9.81852861330894,123,45,54,70,0,4,9,"Minor",13,0
"56","Blinding Lights","The Weeknd",2019,11,43899,10.6896468197605,171,50,80,0,0,7,9,"Major",38,0
"57","Moonlight","Kali Uchis",2023,2,2649,7.88193748927207,137,64,72,51,0,5,17,"Minor",88,1
"58","La Bachata","Manuel Turizo",2022,5,6804,8.82526595351575,125,84,68,58,0,4,22,"Minor",85,1
"59","S91","Karol G",2023,7,525,6.26339826259162,128,86,72,59,0,19,9,"Minor",42,0
"60","cardigan","Taylor Swift",2020,7,7923,8.97752520096524,130,61,58,55,0,4,27,"Minor",53,0
"61","Tï¿½ï¿","dennis, MC Kevin o Chris",2023,5,731,6.59441345974978,130,86,96,50,1,5,9,"Major",59,0
"62","Boy's a liar Pt. 2","PinkPantheress, Ice Spice",2023,2,5184,8.55333223803211,133,70,81,25,0,5,25,"Major",86,0
"63","Left and Right (Feat. Jung Kook of BTS)","Charlie Puth, BTS, Jung Kook",2022,6,3107,8.04141290939305,101,88,59,62,0,3,9,"Major",72,0
"64","BESO","Rauw Alejandro, ROSALï¿½",2023,3,4053,8.30721262662831,95,77,64,74,0,14,17,"Minor",53,0
"65","Hey Mor","Ozuna, Feid",2022,10,4637,8.44182288439146,98,90,59,0,0,29,10,"Minor",40,0
"66","Yellow","Chris Molitor",1999,1,31358,10.3532246969204,173,43,66,0,0,3,23,"Major",28,0
"67","Karma","Taylor Swift",2022,10,3818,8.24748200428569,90,64,62,7,0,7,48,"Major",10,0
"68","People","Libianca",2022,12,3506,8.16223106548118,198,59,42,55,0,7,10,"Minor",71,0
"69","Overdrive","Post Malone",2023,7,410,6.01615715969835,140,56,73,0,0,4,35,"Major",48,0
"70","Enchanted (Taylor's Version)","Taylor Swift",2023,7,148,4.99721227376411,82,51,53,1,0,3,15,"Major",22,0
"71","BABY HELLO","Rauw Alejandro, Bizarrap",2023,6,1004,6.91174730025167,130,77,89,17,0,5,43,"Minor",84,0
"72","Heat Waves","Glass Animals",2020,6,22543,10.0231798754541,81,76,53,44,0,9,9,"Major",53,0
"73","golden hour","JVKE",2022,7,4511,8.4142741374084,94,51,59,65,18,3,25,"Minor",14,0
"74","Sweater Weather","The Neighbourhood",2012,5,16413,9.70582898273194,124,61,81,5,2,3,10,"Major",41,0
"75","Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2022,7,8506,9.04852707581358,128,62,78,1,3,4,23,"Major",55,0
"76","Viva La Vida","Coldplay",2008,1,33898,10.431111294578,138,49,62,9,0,3,11,"Minor",42,0
"77","Here With Me","d4vd",2022,7,3246,8.08517874807454,132,58,48,50,0,3,12,"Major",27,0
"78","Unholy (feat. Kim Petras)","Sam Smith, Kim Petras",2022,9,8576,9.05672288331058,131,71,47,1,0,9,27,"Major",24,0
"79","Yandel 150","Yandel, Feid",2022,12,3618,8.19367666595524,168,78,73,5,0,7,10,"Minor",58,0
"80","CORAZï¿½ï¿½N VA","Maria Becerra",2023,6,370,5.91350300563827,98,68,79,33,0,6,30,"Major",40,0
"81","Riptide","Vance Joy",1975,1,31123,10.3457023746743,102,48,73,43,0,4,15,"Major",50,0
"82","Until I Found You (with Em Beihold) - Em Beihold Version","Em Beihold, Stephen Sanchez",2022,4,2790,7.93379687481541,101,34,57,78,0,3,20,"Major",32,0
"83","Novidade na ï¿½ï¿","Mc Livinho, DJ Matt D",2023,6,267,5.58724865840025,130,63,34,76,0,9,35,"Major",36,0
"84","Back To December (Taylor's Version)","Taylor Swift",2023,7,139,4.93447393313069,142,50,64,1,0,3,12,"Major",20,0
"85","STAY (with Justin Bieber)","Justin Bieber, The Kid Laroi",2021,7,17050,9.74390548271166,170,59,76,4,0,5,10,"Major",48,0
"86","El Merengue","Marshmello, Manuel Turizo",2023,3,2114,7.65633716643018,124,78,68,3,1,4,11,"Minor",70,0
"87","Someone You Loved","Lewis Capaldi",2018,11,17836,9.78897416574737,110,50,41,75,0,3,11,"Major",45,0
"88","Me Porto Bonito","Chencho Corleone, Bad Bunny",2022,5,8870,9.09043007530363,92,91,71,9,0,8,9,"Minor",43,0
"89","Makeba","Jain",2015,6,6060,8.70946507906336,116,82,66,39,51,7,25,"Major",40,0
